"Year","Population","Change_Percentage","Month","Monthly.Discharge.Wastewater","Monthly.Water.Withdraw"
2012,"241,107",2.46,1,18.02,25.19
2012,"241,107",2.46,2,18.35,25.2
2012,"241,107",2.46,3,20.94,25.57
2012,"241,107",2.46,4,17.1,26.26
2012,"241,107",2.46,5,16.63,28.45
2012,"241,107",2.46,6,15.11,29.94
2012,"241,107",2.46,7,14.87,33.53
2012,"241,107",2.46,8,15.62,33.17
2012,"241,107",2.46,9,17.42,30.63
2012,"241,107",2.46,10,16.06,26.21
2012,"241,107",2.46,11,15.19,24.35
2012,"241,107",2.46,12,16.21,22.49
2013,"247,002",2.44,1,18.46,23.89
2013,"247,002",2.44,2,20.47,24.28
2013,"247,002",2.44,3,18.86,23.57
2013,"247,002",2.44,4,18.96,26.07
2013,"247,002",2.44,5,18.78,27.56
2013,"247,002",2.44,6,20.27,27.82
2013,"247,002",2.44,7,20.01,28.52
2013,"247,002",2.44,8,16.49,30.77
2013,"247,002",2.44,9,15.5,29.87
2013,"247,002",2.44,10,15.08,27.47
2013,"247,002",2.44,11,15.17,25.21
2013,"247,002",2.44,12,17.8,23.91
2014,"253,316",2.56,1,17.22,25.12
2014,"253,316",2.56,2,18.82,24.36
2014,"253,316",2.56,3,21.57,24.9
2014,"253,316",2.56,4,19.8,25.89
2014,"253,316",2.56,5,16.73,28.07
2014,"253,316",2.56,6,18.58,30.03
2014,"253,316",2.56,7,17.33,30.53
2014,"253,316",2.56,8,18.25,28.4
2014,"253,316",2.56,9,17.44,29.62
2014,"253,316",2.56,10,16.98,27.13
2014,"253,316",2.56,11,16.3,25.18
2014,"253,316",2.56,12,16.39,24.31
2015,"258,581",2.08,1,19.8,23.77
2015,"258,581",2.08,2,20.03,24.99
2015,"258,581",2.08,3,22.06,25
2015,"258,581",2.08,4,18.99,25.3
2015,"258,581",2.08,5,16.42,28.25
2015,"258,581",2.08,6,14.98,31.68
2015,"258,581",2.08,7,15.05,30.7
2015,"258,581",2.08,8,14.24,32.33
2015,"258,581",2.08,9,15.87,30.31
2015,"258,581",2.08,10,17.82,25.9
2015,"258,581",2.08,11,20.81,23.98
2015,"258,581",2.08,12,23.51,24.56
2016,"265,355",2.62,1,20.98,24.31
2016,"265,355",2.62,2,23.18,25.33
2016,"265,355",2.62,3,20.73,26.09
2016,"265,355",2.62,4,19.68,27.74
2016,"265,355",2.62,5,20.17,25.98
2016,"265,355",2.62,6,18.05,29.35
2016,"265,355",2.62,7,20.45,30.15
2016,"265,355",2.62,8,17.44,32.48
2016,"265,355",2.62,9,17.8,32.18
2016,"265,355",2.62,10,19.61,29.29
2016,"265,355",2.62,11,15.58,27.99
2016,"265,355",2.62,12,15.8,25.15
2017,"269,578",1.59,1,19.33,25.82
2017,"269,578",1.59,2,15.61,28.8
2017,"269,578",1.59,3,17.47,28.25
2017,"269,578",1.59,4,21.12,27.69
2017,"269,578",1.59,5,20,28.6
2017,"269,578",1.59,6,18.45,29.74
2017,"269,578",1.59,7,15.98,31.81
2017,"269,578",1.59,8,15.81,32.87
2017,"269,578",1.59,9,15.59,32.23
2017,"269,578",1.59,10,15.48,29.96
2017,"269,578",1.59,11,15.7,26.09
2017,"269,578",1.59,12,15.59,24.65
2018,"274,291",1.75,1,18.29,26.12
2018,"274,291",1.75,2,19.34,25.23
2018,"274,291",1.75,3,21.1,24.25
2018,"274,291",1.75,4,21.37,25.54
2018,"274,291",1.75,5,20.78,28.87
2018,"274,291",1.75,6,17.74,27.7
2018,"274,291",1.75,7,16.62,32
2018,"274,291",1.75,8,19.61,30.73
2018,"274,291",1.75,9,21.76,29.94
2018,"274,291",1.75,10,19.67,28.9
2018,"274,291",1.75,11,24.99,26.14
2018,"274,291",1.75,12,26.39,23.92
2019,"278,993",1.71,1,24.61,24.64
2019,"278,993",1.71,2,26.49,26.31
2019,"278,993",1.71,3,23.84,29.43
2019,"278,993",1.71,4,25.34,27.28
2019,"278,993",1.71,5,18.19,30.91
2019,"278,993",1.71,6,18.01,31.17
2019,"278,993",1.71,7,16.79,35.06
2019,"278,993",1.71,8,17.66,34.67
2019,"278,993",1.71,9,15.92,33.72
2019,"278,993",1.71,10,16.4,31.3
2019,"278,993",1.71,11,17.2,26.72
2019,"278,993",1.71,12,18.19,23.83
2020,"283,506",1.62,1,21.49,23.97
2020,"283,506",1.62,2,25.14,25.58
2020,"283,506",1.62,3,18.06,25.56
2020,"283,506",1.62,4,17.95,26.19
2020,"283,506",1.62,5,21.62,27.07
2020,"283,506",1.62,6,18,30.26
2020,"283,506",1.62,7,16.82,32.76
2020,"283,506",1.62,8,18.82,30.96
2020,"283,506",1.62,9,18.75,29.78
2020,"283,506",1.62,10,18.43,27.44
2020,"283,506",1.62,11,18.59,25.03
2020,"283,506",1.62,12,23.36,23.9
2021,"290,877",2.6,1,22.4,24.49
2021,"290,877",2.6,2,26.47,24.7
2021,"290,877",2.6,3,19.36,26.54
2021,"290,877",2.6,4,18.15,27.4
2021,"290,877",2.6,5,16.4,30.41
2021,"290,877",2.6,6,17.54,30.94
2021,"290,877",2.6,7,17.94,32.11
2021,"290,877",2.6,8,17.42,33.81
2021,"290,877",2.6,9,18.18,32.62
2021,"290,877",2.6,10,17.49,31.36
2021,"290,877",2.6,11,16.32,28.46
2021,"290,877",2.6,12,15.76,25.35
