Year,Month,Monthly Water Withdraw
2012,1,25.19
2012,2,25.2
2012,3,25.57
2012,4,26.26
2012,5,28.45
2012,6,29.94
2012,7,33.53
2012,8,33.17
2012,9,30.63
2012,10,26.21
2012,11,24.35
2012,12,22.49
2013,1,23.89
2013,2,24.28
2013,3,23.57
2013,4,26.07
2013,5,27.56
2013,6,27.82
2013,7,28.52
2013,8,30.77
2013,9,29.87
2013,10,27.47
2013,11,25.21
2013,12,23.91
2014,1,25.12
2014,2,24.36
2014,3,24.9
2014,4,25.89
2014,5,28.07
2014,6,30.03
2014,7,30.53
2014,8,28.4
2014,9,29.62
2014,10,27.13
2014,11,25.18
2014,12,24.31
2015,1,23.77
2015,2,24.99
2015,3,25
2015,4,25.3
2015,5,28.25
2015,6,31.68
2015,7,30.7
2015,8,32.33
2015,9,30.31
2015,10,25.9
2015,11,23.98
2015,12,24.56
2016,1,24.31
2016,2,25.33
2016,3,26.09
2016,4,27.74
2016,5,25.98
2016,6,29.35
2016,7,30.15
2016,8,32.48
2016,9,32.18
2016,10,29.29
2016,11,27.99
2016,12,25.15
2017,1,25.82
2017,2,28.8
2017,3,28.25
2017,4,27.69
2017,5,28.6
2017,6,29.74
2017,7,31.81
2017,8,32.87
2017,9,32.23
2017,10,29.96
2017,11,26.09
2017,12,24.65
2018,1,26.12
2018,2,25.23
2018,3,24.25
2018,4,25.54
2018,5,28.87
2018,6,27.7
2018,7,32
2018,8,30.73
2018,9,29.94
2018,10,28.9
2018,11,26.14
2018,12,23.92
2019,1,24.64
2019,2,26.31
2019,3,29.43
2019,4,27.28
2019,5,30.91
2019,6,31.17
2019,7,35.06
2019,8,34.67
2019,9,33.72
2019,10,31.3
2019,11,26.72
2019,12,23.83
2020,1,23.97
2020,2,25.58
2020,3,25.56
2020,4,26.19
2020,5,27.07
2020,6,30.26
2020,7,32.76
2020,8,30.96
2020,9,29.78
2020,10,27.44
2020,11,25.03
2020,12,23.9
2021,1,24.49
2021,2,24.7
2021,3,26.54
2021,4,27.4
2021,5,30.41
2021,6,30.94
2021,7,32.11
2021,8,33.81
2021,9,32.62
2021,10,31.36
2021,11,28.46
2021,12,25.35
